neighborhood_id,trip_count,name
0,7,albany_park
1,5,andersonville
2,5,archer_heights
3,6,armour_square
4,2,ashburn
5,5,auburn_gresham
6,8,austin
7,5,avalon_park
8,4,avondale
9,9,belmont_cragin
10,5,beverly
11,6,boystown
12,5,bridgeport
13,7,brighton_park
14,4,bucktown
15,5,burnside
16,10,calumet_heights
17,5,chatham
18,3,chicago_lawn
19,4,chinatown
20,1,clearing
21,2,douglas
22,2,dunning
23,2,east_side
24,2,east_village
25,1,edgewater
26,2,edison_park
27,4,englewood
28,2,fuller_park
29,2,gage_park
30,1,garfield_park
31,1,garfield_ridge
32,2,gold_coast
33,1,grand_boulevard
34,3,grand_crossing
35,2,grant_park
36,2,hegewisch
37,3,hermosa
38,2,humboldt_park
39,7,hyde_park
40,1,irving_park
41,1,jackson_park
42,3,jefferson_park
43,1,kenwood
44,5,lake_view
45,4,lincoln_park
46,6,lincoln_square
47,2,little_italy_uic
48,1,little_village
49,1,logan_square
51,2,lower_west_side
55,1,mount_greenwood
56,3,museum_campus
58,1,new_city
59,1,north_center
60,1,north_lawndale
63,1,o_hare
65,1,old_town
68,1,river_north
72,2,rush_division
73,1,sauganash_forest_glen
80,1,undef
82,1,uptown
85,1,west_elsdon
87,1,west_loop
88,1,west_pullman
92,1,woodlawn
